pddl_80_20                         fastest       │ slowest       │ median        │ mean          │ samples │ iters
├─ classical                                     │               │               │               │         │
IR: 17us, Ground: 0us, Solve: 2us, POWL: 0us
IR: 17us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 16us, Ground: 0us, Solve: 2us, POWL: 0us
IR: 16us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 16us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 16us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 16us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 16us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 16us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 16us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 16us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 16us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 16us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 16us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 16us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 16us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 16us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 16us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 16us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 16us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 16us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 16us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 16us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 16us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 0us, Solve: 2us, POWL: 0us
IR: 17us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 16us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 16us, Ground: 0us, Solve: 2us, POWL: 0us
IR: 16us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 16us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 16us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 16us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 16us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 16us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 16us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 16us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 16us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 16us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 16us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 16us, Ground: 0us, Solve: 2us, POWL: 0us
IR: 16us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 16us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 16us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 16us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 16us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 16us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 16us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 16us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 16us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 16us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 16us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 16us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 16us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 17us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 16us, Ground: 0us, Solve: 1us, POWL: 0us
IR: 16us, Ground: 0us, Solve: 1us, POWL: 0us
22.12 µs      │ 32.95 µs      │ 22.62 µs      │ 23.05 µs      │ 100     │ 100
├─ derived                                       │               │               │               │         │
│  ╰─ derived_readiness            19.62 µs      │ 25.91 µs      │ 20.16 µs      │ 20.35 µs      │ 100     │ 100
├─ ingress                                       │               │               │               │         │
│  ├─ rdf_direct_to_ir             3.54 µs       │ 20.79 µs      │ 3.665 µs      │ 3.831 µs      │ 100     │ 100
│  ╰─ rdf_via_text_to_ir           
